num_instruments,window,mse_monthly,sharpe_ratio
3,10,4.3991979348194145e-07,0.6394990855418483
3,10,4.3991979348194145e-07,0.6394990855418483
3,10,4.3991979348194145e-07,0.6394990855418483
3,10,4.3991979348194145e-07,0.6394990855418483
3,20,8.49756067814213e-07,0.6882182054485315
3,20,8.49756067814213e-07,0.6882182054485315
3,20,8.49756067814213e-07,0.6882182054485315
3,20,8.49756067814213e-07,0.6882182054485315
3,30,1.0510260487714973e-06,0.7496750988277835
3,30,1.0510260487714973e-06,0.7496750988277835
3,30,1.0510260487714973e-06,0.7496750988277835
3,30,1.0510260487714973e-06,0.7496750988277835
3,40,1.110226141147348e-06,0.8363236655412715
3,40,1.110226141147348e-06,0.8363236655412715
3,40,1.110226141147348e-06,0.8363236655412715
3,40,1.110226141147348e-06,0.8363236655412715
3,50,1.1281520744540876e-06,0.910370030347505
3,50,1.1281520744540876e-06,0.910370030347505
3,50,1.1281520744540876e-06,0.910370030347505
3,50,1.1281520744540876e-06,0.910370030347505
3,60,1.159019918551832e-06,0.9932418591409838
3,60,1.159019918551832e-06,0.9932418591409838
3,60,1.159019918551832e-06,0.9932418591409838
3,60,1.159201119717883e-06,0.9934367830850348
3,10,4.3991979348194145e-07,0.6394990855418483
3,10,4.3991979348194145e-07,0.6394990855418483
3,10,4.3991979348194145e-07,0.6394990855418483
3,10,4.402378488375847e-07,0.6388661047440827
3,20,8.49756067814213e-07,0.6882182054485315
3,20,8.49756067814213e-07,0.6882182054485315
3,20,8.49756067814213e-07,0.6882182054485315
3,20,8.49756067814213e-07,0.6882182054485315
3,30,1.0510260487714973e-06,0.7496750988277835
3,30,1.0510260487714973e-06,0.7496750988277835
3,30,1.050230589124848e-06,0.7561529294551077
3,30,1.0510260487714973e-06,0.7496750988277835
3,40,1.1106257686026789e-06,0.8373609629452143
3,40,1.110226141147348e-06,0.8363236655412715
3,40,1.110226141147348e-06,0.8363236655412715
3,40,1.110226141147348e-06,0.8363236655412715
3,50,1.1281520744540876e-06,0.910370030347505
3,50,1.1281520744540876e-06,0.910370030347505
3,50,1.1281520744540876e-06,0.910370030347505
3,50,1.1281520744540876e-06,0.910370030347505
